fecha dictamen,numero
1988-09-10,58413-913-LB
2011-10-26,99665-71158-BK
2007-05-22,57206-54530-DD
1992-12-10,78898-94927-BN
2019-02-08,22773-32540-GK
2018-07-27,54323-48069-BB
2009-07-30,92680-33292-ID
1984-12-23,54320-63443-IG
2019-05-17,25560-62492-IF
2012-12-13,34379-59717-IF
2002-04-14,84402-80852-OF
2017-10-13,19834-44866-KH
2018-03-02,70956-36162-DE
2016-02-05,33429-60129-JB
2009-11-28,35514-43848-JL
2016-11-18,25251-67670-BJ
1995-02-06,56452-53818-KL
1989-07-08,74760-34547-AM
2019-07-04,79002-3443-MF
2019-12-06,73255-18796-LG
2018-10-06,9382-11896-GJ
2009-12-24,86035-37342-LK
2013-12-01,13118-46964-NG
2018-05-18,87267-3789-AN
2017-08-04,54666-43312-HG
2015-07-09,91497-47373-AM
1974-09-25,22449-69777-OL
2017-02-26,66157-28678-DB
2019-06-28,72791-38993-ME
2018-10-12,54255-53453-LH
2007-07-29,65594-17989-BA
2015-03-14,5606-48994-GG
2018-02-16,8832-44419-GO
2019-05-24,40701-75051-OF
2015-02-08,54278-71074-LM
2013-09-13,78658-80170-BA
2012-10-24,25421-78810-EI
2015-09-02,29342-43591-EJ
1973-05-15,81320-70549-ED
2012-04-12,89035-78027-BK
2014-08-05,77544-16087-ND
1987-04-25,52271-62239-NA
2010-03-20,49914-18228-EO
2016-07-19,53092-57870-IK
1989-09-07,82175-37613-NA
2007-01-13,46636-91960-GI
2015-09-11,9775-26500-DB
2018-12-31,22519-82571-EB
2019-02-16,75370-89021-KJ
2009-11-20,37596-86844-LJ
1992-10-03,6152-92269-OF
2016-12-04,88027-9716-IG
2018-03-30,70903-65750-FN
2012-08-18,26633-65881-KM
2017-08-09,97380-26930-JD
2014-01-30,16076-75777-HG
2018-07-06,11641-34307-IJ
2017-12-11,25509-30252-GB
2007-12-25,73320-42264-KK
2012-09-10,40868-84822-MB
2006-02-09,47853-21136-BD
2019-08-26,90211-78689-NG
2000-09-20,1599-59083-NL
1999-03-30,98510-75106-MB
2019-05-20,78386-7425-LB
2018-02-17,37911-51049-GB
2019-08-16,85214-87335-HK
1991-10-24,83333-17784-OI
2017-02-05,26458-21930-AO
2015-11-11,43980-91445-GF
2019-09-07,3186-41407-HD
2019-06-05,48895-50224-BO
2016-01-11,39077-17093-IO
2002-01-13,95639-66226-KA
2018-05-25,66203-16639-HB
2018-11-02,18723-61185-NL
2012-01-14,41719-34380-HN
1992-10-27,1671-13940-FB
2018-07-10,47987-72458-NA
2018-01-22,227-34265-AJ
2011-10-22,68232-33256-BE
2017-05-15,37574-50937-IO
2017-12-03,16168-65139-HL
2017-11-04,70909-4295-FI
1997-11-08,54728-45409-MH
2009-10-06,50212-33116-MJ
2017-08-07,65076-92515-FA
2013-04-20,1870-81037-GN
2015-09-17,7778-81018-OO
2009-11-05,46798-97702-AB
1995-07-08,60125-88020-EJ
2019-04-04,23331-39321-EA
2016-06-16,8847-70563-GA
2013-03-12,78927-34906-AF
2011-07-02,76002-31884-HB
2009-05-15,22419-89006-MN
2018-11-15,24676-34240-MD
1980-05-01,58039-4526-DN
2016-06-03,24514-730-FM
2018-03-05,23788-66193-BD
2019-11-03,5201-79340-GL
1990-06-17,31390-10675-JI
1999-10-05,79438-70598-OA
2017-07-23,17949-48556-JA
2018-02-05,73862-79566-NH
2018-09-21,14105-17965-NF
2008-02-17,79531-56651-LH
1969-12-30,14031-50854-DI
2009-11-26,92571-15775-IG
2015-12-26,28515-47758-HA
2016-11-23,66801-89792-MN
2019-05-08,5332-26842-JN
1985-06-15,19997-23211-BK
2003-05-14,22684-50841-DL
2007-10-20,74518-75950-BE
1993-05-03,41314-95451-KA
2019-04-03,88280-15844-GF
2019-02-27,89113-30145-NE
2016-08-05,20495-64198-KA
2012-12-25,31612-27030-GN
2015-08-29,56633-55074-MH
2018-03-28,99687-54592-NF
2017-08-06,88104-35890-NB
2016-04-04,73598-14413-EL
1996-02-15,24053-31033-EH
2005-03-25,17636-7621-BE
2014-07-31,87414-9611-GL
1999-09-05,45806-17701-BD
2013-07-25,47238-166-AO
2018-07-17,97851-38763-KB
2014-10-31,23059-52229-IO
1996-08-01,59766-622-AD
1997-09-19,73961-74990-OI
2017-05-16,38445-14261-KI
2011-08-19,8408-55431-HD
2015-03-01,58310-81724-EM
2016-06-07,38317-81420-LK
2010-04-08,13113-91204-IB
2006-01-12,88355-75891-DO
2019-02-17,18375-32934-HA
2012-10-08,43937-17188-FK
2014-08-16,84781-76951-OM
2011-03-01,40917-85780-OG
2019-01-18,22569-85132-EO
2019-05-16,25648-25070-ML
2005-03-03,62210-85464-BE
1994-01-27,81340-3193-BF
2019-07-05,69702-57651-GF
2014-12-07,20294-68376-MI
2010-11-20,62438-58719-ID
1995-10-27,98872-17698-DB
1989-12-07,87345-98996-FN
1996-05-05,61716-54477-GH
2015-05-31,35747-61648-GI
2015-09-14,91609-9651-NA
2003-04-11,29882-86331-BE
2013-12-01,67925-92389-AM
1973-03-19,63632-88004-NO
2004-10-04,36238-26381-HE
2018-08-22,4436-2326-IK
2017-12-05,5930-54688-NB
2018-06-24,23452-61348-AE
2018-07-03,86127-94020-IG
2019-08-30,15117-86590-BE
2019-04-05,52501-35380-BA
2019-04-01,10297-96037-NB
2010-03-24,18699-22073-FF
2019-06-13,39740-33960-AE
2015-01-04,73187-45555-LG
2019-05-27,18030-36968-NJ
2007-04-17,93856-11256-BG
2019-04-29,2253-23657-AK
2019-08-23,92284-59559-KK
2018-03-24,72863-84806-KE
1998-09-27,54164-4511-DB
1996-10-07,51938-21205-OJ
2015-05-27,40946-82076-LO
2018-07-28,43995-44394-MM
2018-08-05,53774-66575-MB
2014-02-07,67830-43035-BN
1999-05-20,71513-92419-OA
2019-02-16,3586-19278-BL
2016-07-23,21728-78263-KG
2003-07-31,86680-48983-OI
2011-02-24,53761-16248-JH
1990-11-14,79431-80670-LF
1994-11-04,46358-99061-OO
2019-02-17,67745-25836-HO
2017-04-10,78766-65377-ML
2016-08-21,1889-67972-MO
2018-04-30,21780-67227-EE
2019-07-07,63996-26058-DI
2016-08-12,92065-31029-BA
1999-01-29,55755-56717-BD
2006-02-25,67349-49899-HF
1971-01-02,15499-11395-BK
2014-04-23,78952-5907-EF
2010-10-22,39898-58963-LH
2017-01-05,17765-54876-GE
2019-08-17,31087-51550-DK
2009-08-26,75190-29365-KA
2002-04-26,11196-6830-JF
2016-01-27,53633-38143-FO
2012-12-03,87545-5148-DM
1997-07-09,22793-36725-DH
2019-06-04,5880-50821-KB
2004-08-25,34887-50690-FJ
2016-09-14,36124-42584-BH
1993-10-07,30892-82624-LH
2010-01-23,46213-77123-AI
2008-02-12,69260-49230-DD
2018-12-04,13827-22125-NI
1994-03-04,77091-52112-BB
2018-11-12,16561-56709-DI
2017-09-01,19133-4266-FO
1992-01-22,23260-58469-BG
2007-02-21,12661-73432-IE
2007-10-25,26031-677-MB
2009-12-04,92732-20240-NA
2018-05-12,83612-36874-EN
2016-03-14,32735-96762-FJ
2015-01-18,87973-82136-BB
2012-09-16,55320-17047-BA
1995-10-07,16834-16078-EA
1985-01-11,95677-87702-IA
2016-04-01,76674-16027-NJ
2019-06-29,17173-54488-OA
1995-11-26,99503-33039-MA
1982-12-05,28177-20876-EB
2010-06-16,15963-32663-FD
2015-04-27,26116-55035-KB
2013-05-13,90077-64093-FF
2006-03-07,3831-95115-IE
2011-03-27,47014-81990-AK
2019-12-04,13216-18575-KH
2015-06-29,42444-63954-DD
2015-05-02,75054-76434-NE
2019-04-20,56899-69529-BN
2008-09-24,46288-28815-LH
2000-01-24,52159-40798-EB
2007-01-26,60866-18656-FB
1995-04-02,12342-9658-LH
2008-11-24,60817-10105-GE
2018-07-15,18743-65639-BO
2014-06-16,71959-72466-AO
2019-09-08,59332-18424-DA
2018-11-04,81752-96365-GD
2013-10-20,5639-16870-MB
2013-04-26,77633-50657-DA
2015-08-23,25599-34576-AE
2011-11-14,29657-4103-IF
2019-08-18,49688-92691-FE
2013-08-21,70137-56890-HN
2001-09-22,68856-40737-NK
2016-08-12,82195-14046-LO
2002-06-30,28600-8488-HJ
2018-12-01,56647-42502-AD
2019-06-28,60038-57619-BO
2019-03-07,15914-82677-BI
2000-06-05,35182-19831-HH
1996-11-13,47444-41443-FH
2010-12-06,7934-32949-KE
1994-03-16,67183-7387-FA
2000-05-01,86588-91383-JD
2011-09-22,61597-66009-IM
2016-06-03,46320-8513-NN
1985-07-01,87829-17879-BM
2010-11-12,19257-66234-EB
2017-10-30,67525-44905-OA
2004-07-27,7895-68461-OJ
2011-11-24,33633-19647-OL
1999-02-06,79161-17288-BA
2009-04-25,84644-52766-KF
1994-10-15,70381-51138-OM
2014-02-07,86037-18059-MO
2001-06-26,8999-42371-AH
1984-09-25,1899-25603-MN
2016-05-05,88641-24696-GO
2017-11-25,70434-40618-BA
2019-03-13,99640-97447-FG
2019-08-27,98130-23480-OA
2017-03-12,96548-74673-HO
2018-10-14,92749-97770-BO
2018-03-12,41319-78582-JM
2018-09-22,76011-68346-EO
2018-08-23,52841-57823-ID
1999-07-27,52530-31141-LE
2017-10-16,65722-41979-AG
2019-06-02,14765-40161-KM
1993-09-25,43480-26468-BA
2010-11-16,30720-19511-BF
2012-01-31,43266-80914-GA
2002-06-30,89011-68127-KK
2017-10-14,84411-45006-KK
2018-08-26,93424-71561-BO
2010-03-05,36287-34715-HF
1995-03-23,33685-28233-DO
2014-06-12,34427-80802-KN
2019-02-03,83406-55486-LK
2019-03-04,11290-61850-GE
2012-11-03,52881-82973-BJ
2011-04-23,19385-82093-AJ
2019-08-20,29511-32952-MN
2018-12-14,52215-90963-JD
2011-06-09,2293-10939-DN
1992-11-20,92749-43026-BG
2019-03-31,7396-80687-GK
2004-09-28,46858-46602-BJ
2016-04-30,9690-71077-NB
2001-07-23,96415-12979-DK
1997-10-18,4482-90530-OM
2002-05-31,23089-62116-DM
1975-09-03,98898-88465-FL
2017-08-07,74555-7557-JA
2018-01-30,59481-17423-DG
2019-01-08,52815-71131-LO
2000-01-01,72601-12798-BI
2019-05-26,57419-14597-HO
1998-01-07,54082-25486-JA
2019-08-28,58490-29388-BO
1995-12-21,73973-45133-HF
2008-08-16,5077-87269-FA
2018-08-09,4107-17683-AE
2013-06-26,45760-84407-HB
2018-12-29,65891-21432-OD
2017-12-10,81498-13737-NL
2017-06-24,15773-43001-OK
2000-10-22,1048-1576-JF
2013-08-01,56348-90944-BB
2017-02-13,65662-54822-OH
2015-02-04,95297-81760-LN
2005-12-29,74819-3605-AK
2007-05-16,20124-29706-DL
2018-04-22,43773-38360-HO
2004-06-25,72493-29886-KH
1982-11-05,81142-59386-ME
2019-06-08,77610-37-OB
2018-09-14,98968-29143-IJ
2018-07-30,26953-83996-KE
2018-02-09,16279-75937-JI
2010-05-20,59350-46142-KJ
2009-05-30,13773-15136-HB
2013-12-25,6375-82595-HF
2019-02-05,86908-27228-HH
2018-07-21,93213-15506-GL
2007-08-24,44625-48291-GA
2012-09-24,76442-80743-HL
2015-12-27,29354-32901-NI
2014-12-26,14477-18964-OD
1991-03-17,54619-8930-BG
2017-08-21,66478-4933-NG
2011-05-07,22979-99943-MO
2019-05-24,18961-97544-KD
1985-05-09,85856-95158-MB
2007-05-16,34083-71049-OO
2003-01-10,29318-34865-EA
2017-07-28,97840-52918-NK
2017-01-02,89847-59126-NN
2019-11-08,91562-88497-KE
2018-04-03,46699-75218-ED
2000-06-02,7348-34541-HB
2002-04-05,56369-8332-AD
2015-10-17,17958-3267-NG
1997-08-08,55181-77178-LN
2019-01-06,56713-62803-AE
2008-08-06,13253-98183-EB
2012-03-09,35476-37213-FG
2015-06-20,17793-70475-NF
2019-06-27,53776-85965-NG
2012-02-27,8700-73071-MD
2017-03-11,71811-42782-MH
2016-07-16,98474-86225-KD
2019-11-08,89437-87142-BI
2019-06-20,51263-79843-MB
2009-11-20,34737-17127-ED
2015-05-15,36098-1854-HO
2019-08-24,65658-26378-JJ
1997-12-02,90919-23833-FK
2019-08-05,72208-78137-JA
2017-01-02,63620-41909-BG
1982-08-02,51912-87752-LL
1996-08-16,20204-52986-HD
2018-11-30,69099-63486-KE
2011-01-19,73402-78680-HF
2017-05-31,37170-9166-BI
2016-04-20,44872-57274-HI
2019-08-07,90758-65896-BD
1975-02-23,94831-48106-HL
2006-05-28,49854-87732-AK
2017-01-03,50645-69919-DM
2017-07-28,12290-64424-OE
2009-01-12,91571-60062-AN
1999-10-25,88995-64668-IA
1997-06-16,17638-67276-NH
2018-03-13,89603-37807-HG
1994-09-13,40743-10883-DB
2016-07-08,51697-44766-EA
2019-01-08,51819-80058-KF
2016-06-10,77898-10604-IG
2019-03-07,16073-21902-BH
2017-06-05,9310-48628-FL
2011-12-01,81341-44442-OF
2003-03-01,50894-3795-JE
2015-11-22,36513-64327-AE
2014-05-25,68565-94447-LJ
2015-04-18,23329-59331-OA
2014-05-16,33410-42093-IJ
2018-06-21,30056-17350-BH
2018-08-08,84813-42647-FD
2010-01-17,92474-66064-NN
2019-02-07,54701-95462-GL
1988-07-05,45370-75523-OG
2016-04-10,30961-40858-OB
2006-12-18,78396-28833-JO
2016-04-08,44024-84022-IE
2018-08-25,39079-20547-AH
2019-07-25,51790-65795-GE
2004-06-29,57835-44880-DE
2011-03-10,79292-20475-GB
2003-12-18,86066-53347-FF
1990-10-08,36234-19203-FN
1996-07-07,78884-56156-FK
2008-03-10,37715-61674-AA
2019-04-25,78230-5797-EG
1995-04-25,50340-35367-JB
2015-12-22,51430-61935-AI
1991-08-03,27689-72567-DG
1995-07-18,38745-62800-KH
2017-05-14,50150-12462-HG
2019-03-04,64372-18798-IO
2016-03-07,97475-36107-AF
2016-06-26,64269-40017-NM
2019-03-04,4499-73289-OM
2019-02-24,86519-31611-HH
2013-03-06,17381-45899-LF
1989-06-16,88293-52542-NL
2009-09-17,59600-64091-JH
2011-08-25,80705-74676-LH
2018-08-14,16515-59243-NI
2004-03-12,38116-72701-HF
2014-11-11,51834-24227-NE
1995-03-01,5458-21013-DH
2019-05-01,20647-69613-FH
2015-02-13,92860-70226-OJ
2014-08-14,25275-20504-JH
2016-03-24,2241-19669-KO
1976-06-02,53724-36122-MJ
2003-10-16,45573-95932-JN
2017-05-23,65074-9664-HE
2018-10-30,9928-48956-MN
2014-09-21,627-72034-IG
1992-04-02,88772-82934-NE
2017-11-23,6373-70087-BL
1992-12-01,93791-83240-HJ
2012-08-29,80360-65941-FE
2014-01-13,65927-69316-DN
2012-04-19,32881-41955-EB
2010-02-18,37913-38544-OH
1985-07-23,76268-80945-IL
2019-04-21,5713-97437-OJ
2006-01-18,62213-81405-NF
2019-05-18,99845-58699-BJ
2014-07-07,42478-49124-AN
2019-08-07,93953-82782-DB
2019-03-23,83283-93109-OL
2019-07-29,6127-42377-BN
2018-07-04,7095-36191-ME
2016-11-17,90868-18488-LL
1987-08-04,81871-20219-GL
1964-09-30,58606-60079-MF
2018-08-15,55323-42065-DI
2012-09-06,83990-6923-MO
2014-12-15,11539-58111-OJ
2017-07-16,54742-21401-DK
2015-01-27,61635-66510-BG
2002-10-26,84159-43996-GK
2009-08-11,9259-38806-AG
2018-11-13,61434-62529-BG
2019-07-08,42677-98248-FO
2007-12-04,78264-43001-OM
2012-01-08,6474-21852-BE
2018-08-25,1944-7535-GO
2018-07-27,56250-67092-MI
2018-12-07,99285-71398-MG
2016-12-14,15957-37860-GM
2018-11-28,79367-34965-IE
2015-01-27,30762-38914-FH
2001-10-03,99050-85831-MB
2019-03-07,74972-39603-EA
2010-11-29,92868-98666-BA
2018-02-08,40575-28667-MB
2001-03-31,83099-69985-IB
1981-07-11,55066-89137-HM
2010-05-07,11270-2133-FH
2011-02-03,13928-22629-FB
2016-10-30,19384-33754-BH
1990-06-29,32926-46394-JE
2019-07-04,7167-17071-MN
2016-12-31,64620-8221-FJ
2019-04-15,23374-78536-DO
2010-05-28,42463-43806-OE
2017-06-16,87810-14844-DB
1980-11-15,16533-76720-MH
2007-07-04,34741-49101-BF
1996-04-14,66675-71715-BK
2017-03-23,28103-76944-KH
2009-01-20,49632-29899-JF
2018-09-26,80831-10898-OB
2019-04-16,74126-66371-JI
1985-01-30,42079-71220-AD
2016-03-11,55822-89358-FA
2011-11-14,45400-95000-LA
2007-08-27,593-44993-FL
2016-07-26,74908-74287-MA
2013-07-25,68053-97395-FD
2019-10-08,99171-9954-BB
2002-03-13,13895-63098-IK
2016-11-19,66909-90749-AB
2000-04-05,69323-85816-OK
2017-09-10,98529-94758-LO
1979-12-04,44524-25058-NJ
2016-04-03,76798-23292-AB
2006-10-01,19624-68429-AD
2009-03-27,28734-47339-DN
2010-04-26,24125-69062-GB
2012-05-08,12463-74756-OK
2013-11-13,98660-42691-BE
2005-12-22,38311-99894-BK
2015-09-01,62899-24509-ED
2019-03-14,4718-65867-EH
1980-08-19,71102-84728-BI
2015-07-31,8888-17823-GI
2006-11-21,67941-60681-KO
2006-11-12,35988-7921-JJ
2017-06-15,15977-36241-IN
2019-06-22,43122-15728-NK
2015-04-13,44981-38533-LD
2018-07-10,11404-18024-ED
2012-08-13,92834-37077-OB
2015-01-29,69321-62174-ND
2012-02-09,74004-40384-EK
2001-05-18,83533-17169-KN
2018-01-26,58071-52208-GH
2005-02-09,7723-90720-OI
2009-08-10,70249-38591-EJ
2016-08-24,7861-64489-HD
2009-06-03,13031-52833-NE
2017-02-22,84650-95169-LJ
2016-02-03,69134-80125-LH
2018-10-30,25089-20410-MG
2011-12-20,22461-25450-BL
1993-05-23,75385-1995-LD
2019-03-18,28274-75799-JO
2007-12-18,56403-12644-EE
2013-11-01,7061-11023-MM
2016-12-02,18039-81824-HE
1984-01-12,33604-85591-IK
2016-06-28,94797-74575-NB
2012-04-09,93676-51807-DB
2017-05-20,70749-61958-HD
2004-08-11,72218-3486-MK
2015-10-01,3708-51080-GJ
2016-10-04,51771-80123-AH
2018-10-07,15164-97027-OO
1992-09-29,44238-3344-OI
2006-03-01,99564-43306-DL
2019-05-26,34133-73251-KM
1999-09-19,38970-67822-GF
2016-03-11,9342-20465-BG
2019-06-24,31626-77108-EK
2015-07-24,66681-53911-ND
2018-08-24,3083-47182-NJ
2007-08-07,96020-37281-BB
2007-11-20,9640-80669-JF
2018-06-18,45301-5241-KN
2017-02-13,76701-8930-NN
2013-09-09,1905-18221-JK
2001-01-05,44446-31481-MH
1970-10-04,9318-58427-OO
2017-08-12,19595-17583-NH
2014-05-05,95669-48059-EM
2018-08-11,45866-66756-NE
2014-01-22,98348-3410-JD
2014-04-29,51361-54213-OE
2014-02-01,2241-5253-LF
2019-08-17,80023-68097-BL
2007-12-21,98595-48855-AK
2011-07-23,29746-47101-FG
2018-01-27,5804-50964-EH
2001-07-13,76953-39705-NL
1996-11-30,60419-16793-MM
2012-06-13,67830-77768-DE
2019-02-17,70045-98822-IB
2007-05-26,39462-56107-OL
1979-12-16,25616-91210-ND
2019-04-08,3766-5360-DO
1999-02-03,9147-12886-LN
2016-06-28,30266-91675-FD
2019-08-08,55560-33894-HH
2019-07-01,75816-16353-DN
2019-08-20,76900-62477-FL
2019-08-28,61624-77739-OA
2012-03-08,66318-85726-DL
2000-04-09,97354-21849-GM
2011-05-27,1021-7552-LM
2014-12-09,19827-99829-OE
2000-07-28,1266-8494-BN
2018-10-30,18789-77918-AG
2018-09-15,62572-15879-HA
1975-12-21,88397-27653-IF
2005-11-15,92926-6350-NN
2017-08-10,34916-7036-LG
2019-07-28,77576-57730-HB
2017-11-11,41942-48829-AI
2015-05-07,50540-22674-DE
2019-07-15,83466-61663-MJ
1994-06-12,6510-90921-MG
1980-03-02,28300-79864-JF
2000-12-15,88629-72465-LL
2000-03-30,22464-93626-AO
2002-06-17,29658-97131-IB
2019-12-08,94869-889-MH
1994-03-03,83741-36454-JB
2016-07-04,50342-37932-MD
2014-10-18,19276-59590-FD
2004-01-19,56530-11105-BE
2014-08-12,66723-89972-EN
1997-07-09,51846-35730-HJ
1994-07-31,16973-56808-AG
2018-05-25,89165-99202-BA
1990-09-23,11992-15712-KH
1999-02-18,78132-15295-LI
2019-02-28,42807-12802-MO
2005-03-07,33756-40666-MN
2016-10-07,21219-6931-FG
2017-12-05,82953-7730-BB
2001-09-02,86635-60941-AN
2011-12-18,47734-47150-BF
2005-02-03,19967-94224-MD
2017-08-30,98958-52300-BO
2010-01-25,98691-77280-FA
2018-09-20,80778-29384-FM
2015-02-18,2947-93016-OM
2017-06-22,47203-6600-DI
2019-08-26,34940-67338-IB
2003-02-14,68508-65212-HI
1988-12-19,42760-72836-BM
2019-08-17,97105-27930-OK
1996-10-17,61334-74252-DI
2002-06-16,39996-31215-LO
2009-09-06,49959-90034-GO
2004-12-22,25999-69032-JO
2016-05-03,12177-79609-LB
2018-05-23,82990-84908-IJ
2019-06-13,54993-89786-AK
2019-02-21,8928-74797-JN
2013-07-27,5055-50452-KO
2019-08-05,20210-43274-MA
2011-01-07,50662-20944-DJ
1996-06-09,24081-40592-IN
2017-12-27,66699-12579-FM
2012-11-18,14094-96348-KL
1991-09-11,81478-50474-LA
2019-12-08,70197-47622-HD
1992-08-27,11487-5277-MO
2009-04-09,98276-52811-HH
2016-12-13,16897-62638-OO
2019-02-08,62393-17866-KI
2018-11-26,24407-30806-AG
2014-07-01,54677-68508-JK
2019-03-02,97304-17667-GE
1999-11-14,72870-78406-DO
2018-04-20,18103-8715-NG
2010-09-23,56346-99393-GN
2017-05-04,43550-95207-EF
2019-04-07,57382-48953-HO
2019-07-30,20569-81633-NB
2015-12-22,73894-46474-BB
2000-02-19,74225-87206-IM
2018-01-15,35168-56113-MB
2018-10-14,66418-69704-GJ
2007-12-28,91659-64978-AK
2017-06-25,7746-53673-FF
2009-03-27,5151-16815-DN
2007-09-28,60174-54917-LL
2012-09-02,32211-86324-BB
2019-08-13,28180-10909-GG
2019-03-27,70440-66845-BB
2014-08-07,26415-28243-AG
2019-07-30,19944-2222-AK
2017-06-28,96573-16418-HO
2018-11-01,33611-40909-NM
1994-05-24,94810-63183-IL
2009-02-10,86525-59179-JL
2017-03-20,3360-93885-NL
2016-04-22,41289-78818-IL
1981-05-11,59701-5287-BD
2016-03-03,97439-59363-AI
2004-02-28,75036-65275-HK
2006-12-19,5090-93447-JN
1999-08-26,38628-14914-JE
2015-11-19,11955-16891-II
2019-04-06,70708-73283-LJ
2014-04-03,69920-89888-BM
2017-10-22,75841-66240-LM
2017-08-27,68062-69059-NG
2019-12-01,96977-48887-GK
2009-03-08,23719-80145-HI
2014-02-06,18319-87452-HI
2002-04-05,55664-27186-GJ
2006-05-13,34179-88687-EB
2018-04-22,18517-61620-IN
2019-08-07,10577-97873-EJ
2009-12-30,60649-96176-ON
2014-06-17,76824-57341-BM
2003-02-16,29657-37773-BE
2018-01-20,76992-17558-JD
2003-02-27,84565-32980-OG
