nproyecto,nrecurso
PowerShares Golden Dragon China Portfolio,26406-19514-LB
Inseego Corp.,15034-91882-KH
Forum Merger Corporation,48926-92957-FH
Novanta Inc.,20966-2287-GN
Yahoo! Inc.,23725-83303-FI
Quebrada Blanca,8987-8726-FE
TICC Capital Corp.,84716-95928-KB
"Mirna Therapeutics, Inc.",60301-70021-OB
"PrivateBancorp, Inc.",51770-46932-EK
Pullalli,17540-59554-MM
Yelp Inc.,40580-26655-IN
Lota,70317-1761-FJ
Navío,933-93899-ME
Suncor EnergyInc.,42348-65185-JM
Terreno Realty Corporation,52452-11632-DJ
SCL Chemetall,25264-2574-LK
Trongol,31926-21178-EB
Haldeman - Sagasca,75887-7992-FG
KT Corporation,6084-94035-EK
Lota,87965-7162-MB
"Dynex Capital, Inc.",84505-25280-OE
SQM - María Elena,80263-91423-JK
E.I. du Pont de Nemours and Company,59400-50499-AL
EQT Corporation,35920-79778-IJ
"TC PipeLines, LP",6950-31233-BM
"FTI Consulting, Inc.",23974-56394-KG
Novelion Therapeutics Inc.,74438-67958-OM
Nuveen AMT-Free Municipal Value Fund,98051-99970-KB
"Entergy Louisiana, Inc.",11282-90991-EA
Galectin Therapeutics Inc.,18823-87464-II
Incyte Corporation,62893-84561-HA
Toll Brothers Inc.,68602-75315-MD
"SeaChange International, Inc.",8990-98288-HM
AbbVie Inc.,71431-81235-HM
El Toqui,75740-71991-BI
"HD Supply Holdings, Inc.",36229-99833-LA
"Kayne Anderson Energy Total Return Fund, Inc.",1381-4766-FB
Eagle Bulk Shipping Inc.,48173-64138-BI
Inseego Corp.,84593-9887-DF
"FairPoint Communications, Inc.",26874-39768-NG
Michilla,47931-32842-LM
Iván,88112-12976-BF
Maganeso III de Atacama,67378-80654-OO
"H&R Block, Inc.",31569-97764-ID
E.I. du Pont de Nemours and Company,51931-4621-AL
Can Can,82821-9653-IL
"HD Supply Holdings, Inc.",54678-7991-BD
María Elisa,19015-83580-IH
First Trust International Multi-Asset Diversified Income Index,39136-17233-HN
Moog Inc.,88483-42850-OL
Container Store (The),91451-79426-HN
"Universal Stainless & Alloy Products, Inc.",24664-97780-FO
PowerShares Nasdaq Internet Portfolio,73886-44546-MF
Andacollo Oro,97192-64062-AO
Comcast Corporation,15045-27259-FJ
"Vectrus, Inc.",2515-70419-BK
Ojos del Salado,2822-26741-BG
PowerShares Golden Dragon China Portfolio,74086-28599-NL
"First Hawaiian, Inc.",87206-56691-GM
"SolarEdge Technologies, Inc.",67907-91471-JI
EQT Corporation,27527-47716-IK
Cerro Colorado,44493-60653-BO
Victoria,65366-46587-EL
Nuveen Energy MLP Total Return Fund,87180-19666-IF
Diana Shipping inc.,99939-68279-JF
Esperanza,72733-88690-FH
Pure Cycle Corporation,33426-96929-BL
Bright Scholar Education Holdings Limited,91055-2425-AN
Fertón,314-8182-HI
Independence Holding Company,74539-38234-JK
"Safe Bulkers, Inc",42300-42306-GD
Cerro Casale,99914-80641-FK
"Hub Group, Inc.",84184-36811-OM
BRF S.A.,93640-42901-JL
Bright Scholar Education Holdings Limited,23813-70951-DA
"Ellie Mae, Inc.",13715-63027-LB
R.R. Donnelley & Sons Company,64706-42638-JA
PowerShares Golden Dragon China Portfolio,40424-47863-HD
Quiborax,35774-44847-IM
Toll Brothers Inc.,48395-29381-BE
Michilla,6039-46278-DM
JM Global Holding Company,4395-52016-DM
PTC Inc.,73534-90231-HI
"International Seaways, Inc.",49811-4830-BB
Fidus Investment Corporation,84778-14286-BI
"MiMedx Group, Inc",17580-89623-OM
"Pepsico, Inc.",15489-36709-BL
"Edge Therapeutics, Inc.",52703-52793-AN
Pupunahue,74694-31348-GD
Delta,52284-16837-NN
Punta de Lobos - Kanita,54956-80049-BJ
Maganeso III de Atacama,51783-24718-HB
"PDF Solutions, Inc.",15484-55884-AB
Nuveen Energy MLP Total Return Fund,44898-65648-NL
Marte Lobo,24000-80875-LO
"MasTec, Inc.",40730-73518-GG
Lomas Bayas,47842-38319-FL
"Clear Channel Outdoor Holdings, Inc.",70840-46159-IA
American Homes 4 Rent,95619-82163-MF
Los Bronces,36328-56110-OF
Maganeso III de Atacama,77044-72351-BI
Lions Gate Entertainment Corporation,36292-25733-IJ
Celite - Carol,74461-72782-EB
"Ashford Hospitality Prime, Inc.",16503-37302-BD
"HD Supply Holdings, Inc.",772-77603-DB
"Portola Pharmaceuticals, Inc.",18642-73174-BB
"Under Armour, Inc.",17228-3064-MM
"support.com, Inc.",27069-62591-KF
"Shutterstock, Inc.",27015-10665-IE
Chimberos,43955-80754-BH
Kraton Corporation,46089-64886-FD
El Abra,3745-30024-FG
Choquelimpie,77927-41652-AE
"Nutanix, Inc.",30984-62661-BH
Neff Corporation,99473-82631-BE
"Cleveland BioLabs, Inc.",46312-65664-OI
"SeaChange International, Inc.",90429-36681-LM
Delta,56670-69690-NE
Entercom Communications Corporation,94976-35914-BB
"H&R Block, Inc.",53700-56432-IB
Mantos Blancos,23502-8803-NH
SQM - Mapocho,92110-70853-KK
"Portola Pharmaceuticals, Inc.",87920-12322-GM
"Dynex Capital, Inc.",95580-80242-AG
Iván,17794-88455-NG
Torchmark Corporation,75641-27577-KE
Incyte Corporation,11698-17269-GG
Diageo plc,70803-2500-FA
PowerShares BuyBack Achievers Portfolio,73341-28996-HD
Cerro Negro,37724-4760-EE
Yahoo! Inc.,29414-34696-KF
"SeaChange International, Inc.",37166-48188-KE
"Arista Networks, Inc.",51806-27866-EI
PIMCO Dynamic Credit and Mortgage Income Fund,76889-13160-GM
Celite - Tana,83687-78588-BF
Caserones,40525-27952-FH
"Hurco Companies, Inc.",73600-83049-BK
AbbVie Inc.,87079-72213-HH
"China Lodging Group, Limited",34823-55667-OO
Northrop Grumman Corporation,95381-11530-GD
Microsemi Corporation,57366-40429-DK
Kopin Corporation,50662-64907-DB
Maganeso III de Atacama,18261-63848-NB
CMP - Cerro Negro Norte,46357-59986-GB
First Trust Senior Loan Fund ETF,23413-42861-IJ
Carvana Co.,37480-31228-AO
Marte Lobo,29929-85963-DK
Cosayach - Soledad,25617-27895-FI
Pirquitas,61983-62485-LB
Dollar General Corporation,28904-6829-DK
"Meridian Waste Solutions, Inc",58413-913-LB
NVIDIA Corporation,99665-71158-BK
Pampa Camarones,99349-34993-EG
Stamps.com Inc.,57206-54530-DD
SCL Chemetall,39648-21403-GH
Moog Inc.,78898-94927-BN
Marine Petroleum Trust,51470-54280-LM
Cosayach - Cala Cala,22773-32540-GK
Brookfield Global Listed Infrastructure Income Fund,54323-48069-BB
SCL Chemetall,92680-33292-ID
Azul S.A.,54320-63443-IG
Galectin Therapeutics Inc.,25560-62492-IF
Inseego Corp.,34379-59717-IF
Pampa Camarones,48438-89200-AK
Manto Verde,9647-51110-IB
Dollar General Corporation,31250-53298-KD
"Avenue Therapeutics, Inc.",73835-79618-GA
Flor de Los Andes,84402-80852-OF
Enel Generacion Chile S.A.,19834-44866-KH
"UMH Properties, Inc.",44711-38611-NI
Celite - Tana,3541-24866-GB
Los Bronces,83925-22949-MN
"Chegg, Inc.",70956-36162-DE
"Nutanix, Inc.",33429-60129-JB
Neff Corporation,27617-49734-DG
Faride,35514-43848-JL
Andes Travertine,25251-67670-BJ
"German American Bancorp, Inc.",56452-53818-KL
Las Piedras,74760-34547-AM
San Gerónimo,1405-57352-FB
"Sierra Oncology, Inc.",85116-30876-JJ
"Sarepta Therapeutics, Inc.",79002-3443-MF
María Elisa,73255-18796-LG
"Entergy Louisiana, Inc.",9382-11896-GJ
"CatchMark Timber Trust, Inc.",86035-37342-LK
Colico Sur,13118-46964-NG
"China Lodging Group, Limited",55754-40935-JM
Kite Realty Group Trust,87267-3789-AN
Manto Verde,54666-43312-HG
China Cord Blood Corporation,81692-78732-OD
"Cleveland BioLabs, Inc.",91497-47373-AM
United Insurance Holdings Corp.,42899-36013-BK
"Vectrus, Inc.",22449-69777-OL
Inacesa - El Way,62769-48316-JL
Western Asset Bond Fund,66157-28678-DB
"First Hawaiian, Inc.",72791-38993-ME
El Morro,46376-64880-NE
Dorado,9091-18322-DK
"First Hawaiian, Inc.",25126-88571-NL
Johnson & Johnson,20138-63871-AF
Mackinac Financial Corporation,54255-53453-LH
Eagle Bulk Shipping Inc.,19104-88446-DE
SQM - Pedro de Valdivia,59065-2297-LD
"Cogentix Medical, Inc.",65594-17989-BA
Dollar General Corporation,35094-94809-AN
Pampa Camarones,5606-48994-GG
"International Seaways, Inc.",8832-44419-GO
Cambrex Corporation,40701-75051-OF
Toll Brothers Inc.,99748-88333-OB
Ojos del Salado,54278-71074-LM
First Trust South Korea AlphaDEX Fund,10405-3013-FB
"Blackhawk Network Holdings, Inc.",78658-80170-BA
Ceragon Networks Ltd.,25421-78810-EI
Merus Labs International Inc.,29342-43591-EJ
Hamilton Lane Incorporated,81320-70549-ED
Carola,89035-78027-BK
Bright Scholar Education Holdings Limited,77544-16087-ND
Costamare Inc.,52271-62239-NA
Esterline Technologies Corporation,20917-8392-BH
AmerisourceBergen Corporation (Holding Co),49914-18228-EO
SQM - Nueva Victoria,53092-57870-IK
Del Fierro,83550-52886-EE
Costamare Inc.,82175-37613-NA
Patriot National Bancorp Inc.,39937-42231-KK
ACF - Lagunas,13731-33823-KG
Talcuna,46636-91960-GI
"Portola Pharmaceuticals, Inc.",99131-22394-OE
"ILG, Inc",81198-14020-OM
"Idera Pharmaceuticals, Inc.",9775-26500-DB
PowerShares BuyBack Achievers Portfolio,22519-82571-EB
El Guindo,75370-89021-KJ
Zion Oil & Gas Inc,37596-86844-LJ
Bed Bath & Beyond Inc.,37932-93155-LH
Isla Guarello,6152-92269-OF
United States Cellular Corporation,88027-9716-IG
Esperanza,70903-65750-FN
Imax Corporation,10362-83889-AB
TICC Capital Corp.,92927-6453-AJ
Western Alliance Bancorporation,55418-34133-KB
Biglari Holdings Inc.,26633-65881-KM
"Avon Products, Inc.",17149-38609-NJ
Abeona Therapeutics Inc.,97380-26930-JD
Antucoya,86135-37414-LK
Independence Holding Company,16076-75777-HG
SAP SE,11641-34307-IJ
La Marcelina,25509-30252-GB
"Edge Therapeutics, Inc.",60895-66489-KM
Urstadt Biddle Properties Inc.,73320-42264-KK
Altamira,40868-84822-MB
Peapack-Gladstone Financial Corporation,47853-21136-BD
Torchmark Corporation,90211-78689-NG
Nuveen Floating Rate Income Fund,1599-59083-NL
Eaton Vance Corporation,1162-81244-BK
SQM - Yumbes,98510-75106-MB
Isla Guarello,29042-69868-HM
Pupunahue,78386-7425-LB
Corporate Asset Backed Corp CABCO,37911-51049-GB
Cerro Bayo,85214-87335-HK
Tuina,83333-17784-OI
"Westbury Bancorp, Inc.",26458-21930-AO
"First Financial Bankshares, Inc.",43980-91445-GF
Diana Shipping inc.,3186-41407-HD
Chimberos,48895-50224-BO
The Community Financial Corporation,78748-19010-MO
Dos Amigos,48611-12240-LA
Imax Corporation,49737-32319-EJ
"Westbury Bancorp, Inc.",39077-17093-IO
Hamilton Lane Incorporated,95639-66226-KA
Pupunahue,42490-9549-FI
First Trust Multi-Asset Diversified Income Index Fund,66203-16639-HB
"Idera Pharmaceuticals, Inc.",18723-61185-NL
The Community Financial Corporation,41719-34380-HN
"Dynex Capital, Inc.",1671-13940-FB
Walter Investment Management Corp.,47987-72458-NA
Check-Cap Ltd.,227-34265-AJ
Intracampos,62386-42264-KM
Intracampos,68232-33256-BE
Carola,37574-50937-IO
"India Fund, Inc. (The)",16168-65139-HL
SCL Chemetall,68632-15702-BN
"Chegg, Inc.",70909-4295-FI
"Forterra, Inc.",54728-45409-MH
Intracampos,50212-33116-MJ
Kilroy Realty Corporation,65076-92515-FA
"Ulta Beauty, Inc.",45329-39965-FN
"Blackhawk Network Holdings, Inc.",45674-72204-LL
Arlington Asset Investment Corp,1870-81037-GN
First Trust Emerging Markets Small Cap AlphaDEX Fund,18116-27855-FA
Faride,7778-81018-OO
Manto Verde,77220-5594-EM
Pirquitas,67912-57970-FK
"Edge Therapeutics, Inc.",46798-97702-AB
"National American University Holdings, Inc.",60125-88020-EJ
"National American University Holdings, Inc.",15566-33961-IH
West Corporation,23331-39321-EA
Linderos,8847-70563-GA
"Recon Technology, Ltd.",28067-87061-NJ
Old Republic International Corporation,78927-34906-AF
Inseego Corp.,76002-31884-HB
Inacesa - El Way,54269-7563-OD
Las Arenitas,22419-89006-MN
Coirón,24676-34240-MD
Dorado,58039-4526-DN
"Nutanix, Inc.",24514-730-FM
"Tootsie Roll Industries, Inc.",47441-7383-NB
Algorta,38134-8615-MK
El Morro,34535-21444-AL
"Chunghwa Telecom Co., Ltd.",23788-66193-BD
"Cyclacel Pharmaceuticals, Inc.",5201-79340-GL
3M Company,31390-10675-JI
"Ellie Mae, Inc.",4969-92890-IE
PIMCO Dynamic Credit and Mortgage Income Fund,42776-48862-BA
Quiborax,79438-70598-OA
"Littelfuse, Inc.",57815-21806-NN
Nuveen AMT-Free Municipal Value Fund,17949-48556-JA
Andacollo Oro,73862-79566-NH
PowerShares Golden Dragon China Portfolio,95807-39882-EA
"H&R Block, Inc.",14105-17965-NF
Incyte Corporation,79531-56651-LH
Punta de Lobos - Kanita,28917-93426-IO
Punitaqui,33889-6137-IM
Cabot Corporation,17642-79509-ME
Talcuna,14031-50854-DI
Clifton Bancorp Inc.,12682-6172-OB
La Coipa,92571-15775-IG
Andacollo Oro,31323-76681-FM
"Hurco Companies, Inc.",28515-47758-HA
Intracampos,66801-89792-MN
Vina Concha Y Toro,65200-74601-FD
"HD Supply Holdings, Inc.",5332-26842-JN
"Kura Oncology, Inc.",19997-23211-BK
Nabriva Therapeutics AG,72886-77263-II
HollyFrontier Corporation,22684-50841-DL
Marte Lobo,74518-75950-BE
Haldeman - Sagasca,41314-95451-KA
Abeona Therapeutics Inc.,96790-38945-EA
"International Seaways, Inc.",88280-15844-GF
United States Cellular Corporation,89113-30145-NE
VictoryShares US 500 Enhanced Volatility Wtd ETF,26132-30243-HN
"Avenue Therapeutics, Inc.",20495-64198-KA
"Universal Stainless & Alloy Products, Inc.",31612-27030-GN
SQM - Nueva Victoria,56633-55074-MH
Yelp Inc.,99687-54592-NF
Navío,183-53239-EB
SQM - Yumbes,62248-78435-MK
Dos Amigos,88104-35890-NB
Punitaqui,73598-14413-EL
Randgold Resources Limited,24053-31033-EH
Cerro Casale,17636-7621-BE
L.B. Foster Company,87414-9611-GL
Georgia Power Company,379-92160-JE
Marte Lobo,45806-17701-BD
El Salvador,47238-166-AO
"Ashford Hospitality Prime, Inc.",97851-38763-KB
"HCA Healthcare, Inc.",23059-52229-IO
ACF - Lagunas,59766-622-AD
Andacollo Cobre,39629-99548-ID
E*TRADE Financial Corporation,73961-74990-OI
EQT Corporation,38445-14261-KI
VictoryShares US 500 Enhanced Volatility Wtd ETF,8408-55431-HD
Punitaqui,49587-38492-AD
"Clear Channel Outdoor Holdings, Inc.",58310-81724-EM
Pupunahue,77830-17261-AG
Marine Petroleum Trust,38317-81420-LK
Andacollo Oro,13113-91204-IB
SQM - Yumbes,19679-2578-IB
U.S. Energy Corp.,88355-75891-DO
"LTC Properties, Inc.",18375-32934-HA
SL Green Realty Corporation,43937-17188-FK
"Spark Energy, Inc.",84781-76951-OM
"UMH Properties, Inc.",45717-64384-GE
Faride,40917-85780-OG
"Ellie Mae, Inc.",22569-85132-EO
Delta,25648-25070-ML
SQM Salar,62210-85464-BE
"Adams Diversified Equity Fund, Inc.",81340-3193-BF
"Discovery Communications, Inc.",69702-57651-GF
"Nustar GP Holdings, LLC",20294-68376-MI
Regal Entertainment Group,62438-58719-ID
Dynatronics Corporation,98872-17698-DB
SQM - Mapocho,87345-98996-FN
First Trust Nasdaq Retail ETF,74850-85102-JH
Flor de Los Andes,61716-54477-GH
"Ulta Beauty, Inc.",35747-61648-GI
Applied DNA Sciences Inc,91609-9651-NA
First Trust Multi-Asset Diversified Income Index Fund,61991-14342-JD
"Discovery Communications, Inc.",29882-86331-BE
"Meridian Waste Solutions, Inc",67925-92389-AM
Fidus Investment Corporation,63632-88004-NO
Northern Trust Corporation,36238-26381-HE
Global Partner Acquisition Corp.,4436-2326-IK
Cosayach - Cala Cala,5930-54688-NB
Credit Acceptance Corporation,23452-61348-AE
Isla Guarello,86127-94020-IG
"Western New England Bancorp, Inc.",98892-54684-KE
Eagle Bulk Shipping Inc.,52180-51755-OL
Escondida,15117-86590-BE
Toll Brothers Inc.,59786-86883-MB
Vanguard Russell 3000 ETF,52501-35380-BA
Carvana Co.,11692-49599-EA
El Volcán,10297-96037-NB
Eaton Vance Corporation,18699-22073-FF
Cosayach - Cala Cala,39740-33960-AE
"FSB Bancorp, Inc.",44764-24421-FJ
III de Atacama Kozan,73187-45555-LG
Arenal,18030-36968-NJ
Eaton Vance Corporation,5984-71414-FO
Incyte Corporation,58425-27924-AB
VictoryShares US 500 Enhanced Volatility Wtd ETF,98541-33437-GD
Great Elm Capital Corp.,93856-11256-BG
Choquelimpie,78391-81266-OB
"Nustar GP Holdings, LLC",55742-61902-DO
"Avenue Therapeutics, Inc.",89983-96348-DB
Imax Corporation,2253-23657-AK
San Gerónimo,92284-59559-KK
Ojos del Salado,70438-87893-EM
"support.com, Inc.",72863-84806-KE
"Hawkins, Inc.",54164-4511-DB
"HD Supply Holdings, Inc.",93353-20501-AB
Royal Caribbean Cruises Ltd.,51938-21205-OJ
SAP SE,40946-82076-LO
Nabriva Therapeutics AG,43995-44394-MM
Northern Trust Corporation,53774-66575-MB
Cambrex Corporation,68709-17669-II
Michilla,67830-43035-BN
CMP - El Laco,71513-92419-OA
Diana Shipping inc.,3586-19278-BL
Park-Ohio Holdings Corp.,66055-85336-ED
"Westbury Bancorp, Inc.",21728-78263-KG
PowerShares KBW High Dividend Yield Financial Portfolio,66706-39380-MO
SQM - Pampa Blanca,86519-36795-HK
Iván,86680-48983-OI
Catamutún,22411-15947-FB
Silvercrest Asset Management Group Inc.,53761-16248-JH
Nuveen Energy MLP Total Return Fund,8058-42696-HO
Isla Guarello,29773-34964-IA
"Franklin Financial Network, Inc.",24797-33266-GO
Maganeso III de Atacama,79431-80670-LF
Punitaqui,46358-99061-OO
"LTC Properties, Inc.",67745-25836-HO
Manantial,78766-65377-ML
Diageo plc,1889-67972-MO
AdvisorShares Market Adaptive Unconstrained Income ETF,21780-67227-EE
Chimborazo,82746-44644-ID
Westpac Banking Corporation,50839-829-JE
"Pepsico, Inc.",63996-26058-DI
Abeona Therapeutics Inc.,19292-66392-BG
SQM - Nueva Victoria,31042-98887-HB
Pupunahue,92065-31029-BA
Haldeman - Sagasca,48157-13557-DI
The Community Financial Corporation,55755-56717-BD
"Ellie Mae, Inc.",31567-2155-HF
El Abra,67349-49899-HF
"Spark Energy, Inc.",9934-82928-AG
Applied DNA Sciences Inc,15499-11395-BK
"Delcath Systems, Inc.",78952-5907-EF
Terreno Realty Corporation,39898-58963-LH
"First Hawaiian, Inc.",17765-54876-GE
Tranquilo,31087-51550-DK
Data Processing,75190-29365-KA
3M Company,11196-6830-JF
Container Store (The),47152-53486-NH
Neff Corporation,21179-49934-JB
La Marcelina,53633-38143-FO
"Chunghwa Telecom Co., Ltd.",87545-5148-DM
Quiborax - Ascotán,77698-10226-BE
El Soldado,47965-12339-DL
Ceragon Networks Ltd.,22793-36725-DH
"Urban One, Inc. ",5880-50821-KB
Cabot Corporation,34887-50690-FJ
Spence,36124-42584-BH
Caupolicán,30892-82624-LH
Toll Brothers Inc.,46213-77123-AI
Merus Labs International Inc.,69260-49230-DD
"First Financial Bankshares, Inc.",13827-22125-NI
"Argos Therapeutics, Inc.",29964-93594-BE
Pupunahue,77091-52112-BB
San Gerónimo,60851-54517-MN
"Adams Diversified Equity Fund, Inc.",16561-56709-DI
PowerShares KBW High Dividend Yield Financial Portfolio,19133-4266-FO
Natl Westminster Pfd,23260-58469-BG
Envision Healthcare Corporation,12661-73432-IE
"AMC Entertainment Holdings, Inc.",83802-5881-LK
"Hawkins, Inc.",26031-677-MB
ACF - Lagunas,92732-20240-NA
Gilat Satellite Networks Ltd.,83612-36874-EN
Pirquitas,46735-15108-IN
Yelp Inc.,32735-96762-FJ
Unisys Corporation,95730-41642-GO
Crawford & Company,87973-82136-BB
Dynatronics Corporation,55320-17047-BA
"China Lodging Group, Limited",16834-16078-EA
El Guindo,95677-87702-IA
"Urban One, Inc. ",76674-16027-NJ
"Biocept, Inc.",17173-54488-OA
"Vectrus, Inc.",99503-33039-MA
Montecristo,28177-20876-EB
Credit Acceptance Corporation,15963-32663-FD
Radomiro Tomic,75993-43940-EE
El Toqui,26116-55035-KB
"Apple Hospitality REIT, Inc.",46482-41469-HG
Chuquicamata,90077-64093-FF
Pure Cycle Corporation,3831-95115-IE
"Delcath Systems, Inc.",93803-16650-OH
Altamira,47014-81990-AK
"Xenia Hotels & Resorts, Inc.",96551-10605-OL
La Productora,13216-18575-KH
Kilroy Realty Corporation,42444-63954-DD
Kamada Ltd.,89274-86339-GG
Guanaco,75054-76434-NE
Great Plains Energy Inc,14874-85789-MD
"Franklin Financial Network, Inc.",17084-2167-NO
María Elisa,56899-69529-BN
Trongol,46288-28815-LH
"German American Bancorp, Inc.",52159-40798-EB
"Gray Television, Inc.",60866-18656-FB
"Rush Enterprises, Inc.",12342-9658-LH
"UMH Properties, Inc.",60817-10105-GE
Ministro Hales,18743-65639-BO
Quiborax - Ascotán,71959-72466-AO
Haldeman - Sagasca,31839-75713-JA
"LM Funding America, Inc.",56824-95547-LB
Kite Realty Group Trust,59332-18424-DA
Peabody Energy Corporation,81752-96365-GD
Northrop Grumman Corporation,5639-16870-MB
Cowen Inc.,77633-50657-DA
Refugio,25599-34576-AE
Johnson & Johnson,29657-4103-IF
PIMCO Dynamic Credit and Mortgage Income Fund,49688-92691-FE
Arlington Asset Investment Corp,70137-56890-HN
EQT Corporation,63450-37416-KN
Romeral,68856-40737-NK
Incyte Corporation,82195-14046-LO
iShares MSCI EM ESG Optimized ETF,28600-8488-HJ
Marte Lobo,56647-42502-AD
Ministro Hales,65059-55517-BO
VictoryShares US 500 Enhanced Volatility Wtd ETF,60038-57619-BO
Tranquilo,15914-82677-BI
Pucobre,35182-19831-HH
"NextEra Energy, Inc.",47444-41443-FH
Caupolicán,7934-32949-KE
"MiMedx Group, Inc",67183-7387-FA
Nuveen Connecticut Quality Municipal Income Fund,86588-91383-JD
Kraton Corporation,61597-66009-IM
El Guindo,46320-8513-NN
Isla Riesco,51386-94542-JH
El Tesoro,87829-17879-BM
Moog Inc.,19257-66234-EB
ENGlobal Corporation,18530-47923-EB
Cosayach - Cala Cala,67525-44905-OA
Zion Oil & Gas Inc,29362-24578-DL
Silicon Motion Technology Corporation,7895-68461-OJ
Las Cenizas,33633-19647-OL
BlackRock Municipal Target Term Trust Inc. (The),79161-17288-BA
CMP - Cerro Negro Norte,84644-52766-KF
"AMC Entertainment Holdings, Inc.",70381-51138-OM
Candelaria,86037-18059-MO
Global Partner Acquisition Corp.,92302-99582-BB
"Commercial Vehicle Group, Inc.",24267-28191-LI
Romeral,8999-42371-AH
Celgene Corporation,1899-25603-MN
Pirquitas,88641-24696-GO
Diana Shipping inc.,70434-40618-BA
Novanta Inc.,45195-42798-GO
Dynatronics Corporation,52726-22599-NM
"Cyclacel Pharmaceuticals, Inc.",73022-89394-KL
Northrop Grumman Corporation,99640-97447-FG
"Everspin Technologies, Inc.",49727-81191-JF
Dollar General Corporation,98130-23480-OA
SQM - Pampa Blanca,98501-46868-HE
"TC PipeLines, LP",50994-15607-AH
Orbotech Ltd.,68604-55112-AB
Las Pataguas,26522-85487-MG
Chimborazo,96548-74673-HO
"Sierra Oncology, Inc.",92749-97770-BO
"Sportsman's Warehouse Holdings, Inc.",60282-77667-AH
Merus Labs International Inc.,55894-94468-AL
Colico Sur,41319-78582-JM
"Avon Products, Inc.",54897-50526-KB
Corporate Asset Backed Corp CABCO,36364-95151-BB
AmerisourceBergen Corporation (Holding Co),76011-68346-EO
E.I. du Pont de Nemours and Company,52841-57823-ID
Incyte Corporation,30569-23480-LG
Escondida,22130-34535-DO
Nuveen AMT-Free Municipal Value Fund,52530-31141-LE
Chimborazo,65722-41979-AG
First Trust International Multi-Asset Diversified Income Index,14765-40161-KM
Guaranty Bancorp,43480-26468-BA
Nuveen Michigan Quality Municipal Income Fund,30720-19511-BF
Can Can,58914-60536-EH
"Dynex Capital, Inc.",65600-32615-AB
"Under Armour, Inc.",43266-80914-GA
Maganeso III de Atacama,89011-68127-KK
Cosayach - Soledad,35202-36492-NA
Pirquitas,84411-45006-KK
"Hurco Companies, Inc.",93424-71561-BO
