comuna,region
Maule,VII del Maule
Vallenar,III de Atacama
Coltauco,VI del Libertador General Bernardo O'Higgins
Malloa,VI del Libertador General Bernardo O'Higgins
San Gregorio,XII de Magallanes y de La Antártica Chilena
Renca,Metropolitana de Santiago
Panquehue,V de Valparaíso
Nacimiento,VIII del Bío-Bío
Pichidegua,VI del Libertador General Bernardo O'Higgins
Olivar,VI del Libertador General Bernardo O'Higgins
Lo Prado,Metropolitana de Santiago
Calama,II de Antofagasta
Graneros,VI del Libertador General Bernardo O'Higgins
San Ignacio,XVI de Ñuble
Los Álamos,VIII del Bío-Bío
Futaleufú,X de Los Lagos
Iquique,I de Tarapacá
Ninhue,XVI de Ñuble
Chiguayante,VIII del Bío-Bío
Freire,IX de La Araucanía
Laguna Blanca,XII de Magallanes y de La Antártica Chilena
Chimbarongo,VI del Libertador General Bernardo O'Higgins
Calera,V de Valparaíso
Salamanca,IV de Coquimbo
Palena,X de Los Lagos
Camarones,XV de Arica y Parinacota
Lonquimay,IX de La Araucanía
Futrono,XIV de Los Ríos
Quinchao,X de Los Lagos
Quellón,X de Los Lagos
Villa Alemana,V de Valparaíso
Pelarco,VII del Maule
Río Verde,XII de Magallanes y de La Antártica Chilena
Pozo Almonte,I de Tarapacá
Llanquihue,X de Los Lagos
Llaillay,V de Valparaíso
Santa Juana,VIII del Bío-Bío
Arica,XV de Arica y Parinacota
Laja,VIII del Bío-Bío
Punitaqui,IV de Coquimbo
Palmilla,VI del Libertador General Bernardo O'Higgins
Penco,VIII del Bío-Bío
Queilén,X de Los Lagos
Illapel,IV de Coquimbo
Cabrero,VIII del Bío-Bío
El Tabo,V de Valparaíso
Chanco,VII del Maule
Constitución,VII del Maule
Rauco,VII del Maule
Peralillo,VI del Libertador General Bernardo O'Higgins
Melipeuco,IX de La Araucanía
Romeral,VII del Maule
Tortel,XI de Aysén del General Carlos Ibáñez del Campo
Parral,VII del Maule
San Bernardo,Metropolitana de Santiago
Dalcahue,X de Los Lagos
La Reina,Metropolitana de Santiago
Teno,VII del Maule
Padre Las Casas,IX de La Araucanía
Huechuraba,Metropolitana de Santiago
Macul,Metropolitana de Santiago
Curanilahue,VIII del Bío-Bío
Timaukel,XII de Magallanes y de La Antártica Chilena
Negrete,VIII del Bío-Bío
Las Condes,Metropolitana de Santiago
Quilleco,VIII del Bío-Bío
Providencia,Metropolitana de Santiago
Curacautín,IX de La Araucanía
Coronel,VIII del Bío-Bío
Peñaflor,Metropolitana de Santiago
Antofagasta,II de Antofagasta
Canela,IV de Coquimbo
María Pinto,Metropolitana de Santiago
Curicó,VII del Maule
Sagrada Familia,VII del Maule
Chaitén,X de Los Lagos
Chile Chico,XI de Aysén del General Carlos Ibáñez del Campo
Quillota,V de Valparaíso
Quintero,V de Valparaíso
Calle Larga,V de Valparaíso
Cartagena,V de Valparaíso
Santiago,Metropolitana de Santiago
Puchuncaví,V de Valparaíso
Lebu,VIII del Bío-Bío
Colchane,I de Tarapacá
Yerbas Buenas,VII del Maule
San Fernando,VI del Libertador General Bernardo O'Higgins
Osorno,X de Los Lagos
Placilla,VI del Libertador General Bernardo O'Higgins
San Antonio,V de Valparaíso
Sierra Gorda,II de Antofagasta
Lago Ranco,XIV de Los Ríos
Vichuquén,VII del Maule
Curacaví,Metropolitana de Santiago
San Pedro de Atacama,II de Antofagasta
Galvarino,IX de La Araucanía
Vicuña,IV de Coquimbo
Mejillones,II de Antofagasta
Quilaco,VIII del Bío-Bío
Cisnes,XI de Aysén del General Carlos Ibáñez del Campo
Quinta de Tilcoco,VI del Libertador General Bernardo O'Higgins
Pelluhue,VII del Maule
Cerrillos,Metropolitana de Santiago
Corral,XIV de Los Ríos
Talcahuano,VIII del Bío-Bío
Cabo de Hornos,XII de Magallanes y de La Antártica Chilena
Lanco,XIV de Los Ríos
Lautaro,IX de La Araucanía
Villa Alegre,VII del Maule
Recoleta,Metropolitana de Santiago
Valparaíso,V de Valparaíso
Pedro Aguirre Cerda,Metropolitana de Santiago
Los Lagos,XIV de Los Ríos
Ovalle,IV de Coquimbo
Padre Hurtado,Metropolitana de Santiago
La Pintana,Metropolitana de Santiago
Camiña,I de Tarapacá
Coinco,VI del Libertador General Bernardo O'Higgins
La Cisterna,Metropolitana de Santiago
Curaco de Vélez,X de Los Lagos
San Miguel,Metropolitana de Santiago
Santa Cruz,VI del Libertador General Bernardo O'Higgins
Pichilemu,VI del Libertador General Bernardo O'Higgins
Teodoro Schmidt,IX de La Araucanía
Calbuco,X de Los Lagos
Lumaco,IX de La Araucanía
Angol,IX de La Araucanía
Loncoche,IX de La Araucanía
Ñuñoa,Metropolitana de Santiago
Coihueco,XVI de Ñuble
Los Sauces,IX de La Araucanía
Pudahuel,Metropolitana de Santiago
Chonchi,X de Los Lagos
Panguipulli,XIV de Los Ríos
Tirúa,VIII del Bío-Bío
Talagante,Metropolitana de Santiago
La Granja,Metropolitana de Santiago
Combarbalá,IV de Coquimbo
Curarrehue,IX de La Araucanía
Tierra Amarilla,III de Atacama
Quilicura,Metropolitana de Santiago
San Rosendo,VIII del Bío-Bío
Cobquecura,XVI de Ñuble
Independencia,Metropolitana de Santiago
Santo Domingo,V de Valparaíso
Aisén,XI de Aysén del General Carlos Ibáñez del Campo
Puqueldón,X de Los Lagos
Los Vilos,IV de Coquimbo
Estación Central,Metropolitana de Santiago
San Vicente,VI del Libertador General Bernardo O'Higgins
Mostazal,VI del Libertador General Bernardo O'Higgins
Fresia,X de Los Lagos
Conchalí,Metropolitana de Santiago
Chépica,VI del Libertador General Bernardo O'Higgins
Concón,V de Valparaíso
Copiapó,III de Atacama
Hualaihué,X de Los Lagos
Río Hurtado,IV de Coquimbo
San Fabián,XVI de Ñuble
Natales,XII de Magallanes y de La Antártica Chilena
Torres del Paine,XII de Magallanes y de La Antártica Chilena
Castro,X de Los Lagos
Linares,VII del Maule
Paillaco,XIV de Los Ríos
Santa María,V de Valparaíso
Juan Fernández,V de Valparaíso
Coquimbo,IV de Coquimbo
Florida,VIII del Bío-Bío
Hualpén,VIII del Bío-Bío
Chillán,XVI de Ñuble
La Higuera,IV de Coquimbo
Treguaco,XVI de Ñuble
O'Higgins,XI de Aysén del General Carlos Ibáñez del Campo
Victoria,IX de La Araucanía
Codegua,VI del Libertador General Bernardo O'Higgins
Lago Verde,XI de Aysén del General Carlos Ibáñez del Campo
San Nicolás,XVI de Ñuble
Putre,XV de Arica y Parinacota
Punta Arenas,XII de Magallanes y de La Antártica Chilena
Coelemu,XVI de Ñuble
Yungay,XVI de Ñuble
La Serena,IV de Coquimbo
Chillán Viejo,XVI de Ñuble
San José de Maipo,Metropolitana de Santiago
Alto Hospicio,I de Tarapacá
Machalí,VI del Libertador General Bernardo O'Higgins
Putaendo,V de Valparaíso
Yumbel,VIII del Bío-Bío
Antuco,VIII del Bío-Bío
Tocopilla,II de Antofagasta
Viña del Mar,V de Valparaíso
Puyehue,X de Los Lagos
Casablanca,V de Valparaíso
El Monte,Metropolitana de Santiago
Talca,VII del Maule
Quilpué,V de Valparaíso
Arauco,VIII del Bío-Bío
Cholchol,IX de La Araucanía
Antártica,XII de Magallanes y de La Antártica Chilena
San Pedro,Metropolitana de Santiago
Melipilla,Metropolitana de Santiago
El Quisco,V de Valparaíso
Molina,VII del Maule
El Bosque,Metropolitana de Santiago
Nogales,V de Valparaíso
Huasco,III de Atacama
Ránquil,XVI de Ñuble
Collipulli,IX de La Araucanía
El Carmen,XVI de Ñuble
Algarrobo,V de Valparaíso
Quirihue,XVI de Ñuble
Pumanque,VI del Libertador General Bernardo O'Higgins
Pica,I de Tarapacá
Puerto Octay,X de Los Lagos
San Pablo,X de Los Lagos
San Javier,VII del Maule
Longaví,VII del Maule
Cochamó,X de Los Lagos
Petorca,V de Valparaíso
Río Bueno,XIV de Los Ríos
Quillón,XVI de Ñuble
Gorbea,IX de La Araucanía
Andacollo,IV de Coquimbo
General Lagos,XV de Arica y Parinacota
Concepción,VIII del Bío-Bío
Catemu,V de Valparaíso
Ñiquén,XVI de Ñuble
Valdivia,XIV de Los Ríos
Limache,V de Valparaíso
Colina,Metropolitana de Santiago
Bulnes,XVI de Ñuble
Pemuco,XVI de Ñuble
Ercilla,IX de La Araucanía
Paredones,VI del Libertador General Bernardo O'Higgins
Máfil,XIV de Los Ríos
Empedrado,VII del Maule
Calera de Tango,Metropolitana de Santiago
Puente Alto,Metropolitana de Santiago
San Juan de la Costa,X de Los Lagos
Buin,Metropolitana de Santiago
Toltén,IX de La Araucanía
Cerro Navia,Metropolitana de Santiago
Hualqui,VIII del Bío-Bío
La Cruz,V de Valparaíso
San Esteban,V de Valparaíso
Quinta Normal,Metropolitana de Santiago
Curepto,VII del Maule
Papudo,V de Valparaíso
Freirina,III de Atacama
Puerto Montt,X de Los Lagos
Cauquenes,VII del Maule
Villarrica,IX de La Araucanía
Litueche,VI del Libertador General Bernardo O'Higgins
Isla de Pascua,V de Valparaíso
Renaico,IX de La Araucanía
San Carlos,XVI de Ñuble
Río Ibáñez,XI de Aysén del General Carlos Ibáñez del Campo
Los Muermos,X de Los Lagos
Curanilahue,VII del Maule
Chile Chico,XI de Aysén del General Carlos Ibañez del Campo
Punta Arenas,XII de Magallanes y de la Antártica Chilena
Primavera,XII de Magallanes y de la Antártica Chilena
Los Álamos,VII del Maule
Cabo de Hornos,XII de Magallanes y de la Antártica Chilena
San Gregorio,XII de Magallanes y de la Antártica Chilena
Porvenir,XII de Magallanes y de la Antártica Chilena
Contulmo,VII del Maule
Natales,XII de Magallanes y de la Antártica Chilena
Laguna Blanca,XII de Magallanes y de la Antártica Chilena
Cañete,VII del Maule
Timaukel,XII de Magallanes y de la Antártica Chilena
Río Ibáñez,XI de Aysén del General Carlos Ibañez del Campo
Río Verde,XII de Magallanes y de la Antártica Chilena
Tirúa,VII del Maule
Antártica,XII de Magallanes y de la Antártica Chilena
